timestamp;mac;hostname;cpu_percent;cpu_user;cpu_system;cpu_idle;cpu_cores;cpu_threads;memory_total_gb;memory_available;memory_used;memory_percent;swap_used;swap_percent;disk_write_time;disk_read_time;disk_read_bytes;disk_write_bytes;disk_read_count;disk_write_count;net_bytes_recv;net_bytes_sent;net_errors_in;net_errors_out;net_drops_in;net_drops_out
2026-09-04 16:35:31;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;25.0;156096.328125;43760.875;887628.2187499999;4;8;7.899723052978516;1.6589012145996094;6.240821838378906;79.0;1.2209320068359375;8.1;9098;76079;371.839478969574;197.22787475585938;9873287;6885462;0.019554036669433117;0.013213345780968666;0;0;0;0
2026-09-04 16:35:32;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;22.4;156097.859375;43761.140625;887634.5624999999;4;8;7.899723052978516;1.6577796936035156;6.241943359375;79.0;1.2209320068359375;8.1;9098;76079;371.8399062156677;197.22797298431396;9873295;6885470;0.019555140286684036;0.013215309008955956;0;0;0;0
2026-09-04 16:35:33;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;31.8;156100.0625;43761.515625;887640.2187499999;4;8;7.899723052978516;1.6858024597167969;6.213920593261719;78.7;1.2209320068359375;8.1;9098;76079;371.839910030365;197.22798442840576;9873296;6885472;0.01955720130354166;0.013215458020567894;0;0;0;0
2026-09-04 16:38:09;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;22.7;156399.5;43849.54687500012;888494.5156249999;4;8;7.899723052978516;1.0690994262695312;6.830623626708984;86.5;1.111328125;7.4;9101;76091;372.1115999221802;197.26426935195923;9883522;6889264;0.022378758527338505;0.014321870170533657;0;0;0;0
2026-09-04 16:38:15;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;18.2;156410.671875;43851.43750000012;888535.5781249999;4;8;7.899723052978516;1.1030960083007812;6.796627044677734;86.0;1.111328125;7.4;9101;76091;372.1120538711548;197.26442289352417;9883540;6889292;0.0223817378282547;0.014329230412840843;0;0;0;0
2026-09-04 16:38:21;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;18.3;156418.21875;43852.75000000012;888574.9687499999;4;8;7.899723052978516;1.1334342956542969;6.766288757324219;85.7;1.111328125;7.4;9101;76091;372.1121416091919;197.26479959487915;9883543;6889332;0.022392566315829754;0.014345133677124977;0;0;0;0
2026-09-04 16:38:27;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;14.0;156425.90625;43854.21875000012;888613.9999999999;4;8;7.899723052978516;1.1030731201171875;6.796649932861328;86.0;1.111328125;7.4;9101;76091;372.11221408843994;197.2650852203369;9883548;6889356;0.02244466170668602;0.014362595044076443;0;0;0;0
2026-09-04 16:38:33;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;21.5;156434.15625;43855.65625;888652.5;4;8;7.899723052978516;1.1109886169433594;6.788734436035156;85.9;1.1113204956054688;7.4;9101;76091;372.1123323440552;197.26541757583618;9883551;6889401;0.022447193041443825;0.014370203949511051;0;0;0;0
2026-09-04 16:38:39;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;27.6;156442.953125;43858.5625;888689.171875;4;8;7.899723052978516;1.1130027770996094;6.786720275878906;85.9;1.1113204956054688;7.4;9101;76091;372.11395931243896;197.26738119125366;9883622;6889703;0.022457786835730076;0.014371764846146107;0;0;0;0
2026-09-04 16:38:45;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;42.5;156452.21875;43861.171875;888716.671875;4;8;7.899723052978516;1.076690673828125;6.823032379150391;86.4;1.1113204956054688;7.4;9101;76091;372.11424922943115;197.267963886261;9883628;6889780;0.022534002549946308;0.01442289724946022;0;0;0;0
